Date,Open,High,Low,Close,Adj Close,Volume,10_ac_ma,20_ac_ma,50_ac_ma
1997-05-15,2.4375,2.5,1.9270830154418945,1.9583330154418945,1.9583330154418945,72156000,,,
1997-05-16,1.96875,1.9791669845581055,1.7083330154418945,1.7291669845581055,1.7291669845581055,14700000,,,
1997-05-19,1.7604169845581055,1.7708330154418945,1.625,1.7083330154418945,1.7083330154418945,6106800,,,
1997-05-20,1.7291669845581055,1.75,1.6354169845581055,1.6354169845581055,1.6354169845581055,5467200,,,
1997-05-21,1.6354169845581055,1.6458330154418945,1.375,1.4270830154418945,1.4270830154418945,18853200,,,
1997-05-22,1.4375,1.4479169845581055,1.3125,1.3958330154418945,1.3958330154418945,11776800,,,
1997-05-23,1.40625,1.5208330154418945,1.3333330154418945,1.5,1.5,15937200,,,
1997-05-27,1.5104169845581055,1.6458330154418945,1.4583330154418945,1.5833330154418945,1.5833330154418945,8697600,,,
1997-05-28,1.625,1.6354169845581055,1.53125,1.53125,1.53125,4574400,,,
1997-05-29,1.5416669845581055,1.5416669845581055,1.4791669845581055,1.5052080154418945,1.5052080154418945,3472800,1.5973957061767579,,
1997-05-30,1.5,1.5104169845581055,1.4791669845581055,1.5,1.5,2594400,1.5515624046325684,,
1997-06-02,1.5104169845581055,1.53125,1.5,1.5104169845581055,1.5104169845581055,591600,1.5296874046325684,,
1997-06-03,1.53125,1.53125,1.4791669845581055,1.4791669845581055,1.4791669845581055,1183200,1.5067708015441894,,
1997-06-04,1.4791669845581055,1.4895830154418945,1.3958330154418945,1.4166669845581055,1.4166669845581055,3080400,1.4848958015441895,,
1997-06-05,1.4166669845581055,1.5416669845581055,1.375,1.5416669845581055,1.5416669845581055,5672400,1.4963541984558106,,
1997-06-06,1.515625,1.7083330154418945,1.5104169845581055,1.65625,1.65625,7807200,1.5223958969116211,,
1997-06-09,1.65625,1.7083330154418945,1.65625,1.6875,1.6875,2352000,1.5411458969116212,,
1997-06-10,1.7083330154418945,1.7083330154418945,1.53125,1.5833330154418945,1.5833330154418945,5458800,1.5411458969116212,,
1997-06-11,1.59375,1.6041669845581055,1.53125,1.5416669845581055,1.5416669845581055,1188000,1.5421875953674316,,
1997-06-12,1.5833330154418945,1.6458330154418945,1.5520830154418945,1.6041669845581055,1.6041669845581055,1632000,1.5520834922790527,1.5747395992279052,
1997-06-13,1.625,1.625,1.5833330154418945,1.5833330154418945,1.5833330154418945,693600,1.5604167938232423,1.5559895992279054,
1997-06-16,1.6041669845581055,1.6041669845581055,1.5625,1.5729169845581055,1.5729169845581055,913200,1.5666667938232421,1.5481770992279054,
1997-06-17,1.5989580154418945,1.5989580154418945,1.4947919845581055,1.5052080154418945,1.5052080154418945,4706400,1.5692708969116211,1.5380208492279053,
1997-06-18,1.5208330154418945,1.5364580154418945,1.5,1.5104169845581055,1.5104169845581055,2464800,1.578645896911621,1.5317708492279052,
1997-06-19,1.5104169845581055,1.53125,1.5,1.5104169845581055,1.5104169845581055,1003200,1.575520896911621,1.5359375476837158,
1997-06-20,1.53125,1.5520830154418945,1.5,1.5260419845581055,1.5260419845581055,3387600,1.5625000953674317,1.5424479961395263,
1997-06-23,1.5416669845581055,1.5416669845581055,1.4791669845581055,1.5,1.5,1047600,1.5437500953674317,1.5424479961395263,
1997-06-24,1.5052080154418945,1.5260419845581055,1.4791669845581055,1.5104169845581055,1.5104169845581055,751200,1.5364584922790527,1.538802194595337,
1997-06-25,1.5260419845581055,1.5260419845581055,1.4895830154418945,1.5104169845581055,1.5104169845581055,2106000,1.5333334922790527,1.5377605438232422,
1997-06-26,1.5208330154418945,1.5208330154418945,1.5052080154418945,1.5104169845581055,1.5104169845581055,3189600,1.5239584922790528,1.5380209922790526,
1997-06-27,1.515625,1.515625,1.4791669845581055,1.4895830154418945,1.4895830154418945,1188000,1.5145834922790526,1.5375001430511475,
1997-06-30,1.5104169845581055,1.5989580154418945,1.4791669845581055,1.5416669845581055,1.5416669845581055,2746800,1.5114584922790528,1.5390626430511474,
1997-07-01,1.5416669845581055,1.5416669845581055,1.5104169845581055,1.515625,1.515625,1292400,1.5125001907348632,1.5408855438232423,
1997-07-02,1.515625,1.59375,1.5104169845581055,1.5885419845581055,1.5885419845581055,3882000,1.5203126907348632,1.5494792938232422,
1997-07-03,1.5989580154418945,1.9166669845581055,1.59375,1.9114580154418945,1.9114580154418945,12577200,1.5604167938232423,1.5679688453674316,
1997-07-07,1.8333330154418945,2.0208330154418945,1.8333330154418945,2.0,2.0,8053200,1.6078125953674316,1.5851563453674316,
1997-07-08,2.0416669845581055,2.3333330154418945,2.0416669845581055,2.3020830154418945,2.3020830154418945,15517200,1.688020896911621,1.6158854961395264,
1997-07-09,2.3020830154418945,2.3854169845581055,2.2708330154418945,2.3229169845581055,2.3229169845581055,8262000,1.769270896911621,1.652864694595337,
1997-07-10,2.3333330154418945,2.5729169845581055,2.3333330154418945,2.5625,2.5625,9051600,1.8744791984558105,1.7039063453674317,
1997-07-11,2.5208330154418945,2.5208330154418945,2.2083330154418945,2.2916669845581055,2.2916669845581055,10531200,1.9526041984558105,1.7382813453674317,
1997-07-14,2.3229169845581055,2.3333330154418945,2.1145830154418945,2.1354169845581055,2.1354169845581055,4604400,2.0171875953674316,1.7658855438232421,
1997-07-15,2.1354169845581055,2.4791669845581055,2.1354169845581055,2.4375,2.4375,9274800,2.106770896911621,1.809114694595337,
1997-07-16,2.4479169845581055,2.4947919845581055,2.3020830154418945,2.3333330154418945,2.3333330154418945,3024000,2.1885416984558104,1.850520944595337,
1997-07-17,2.34375,2.34375,2.15625,2.21875,2.21875,3169200,2.2515625,1.8859375953674316,
