Date,Open,High,Low,Close,Adj Close,Volume,10_ac_ma,20_ac_ma,50_ac_ma,10_ac_bb_u,10_ac_bb_l,20_ac_bb_u,20_ac_bb_l,50_ac_bb_u,50_ac_bb_l
1962-01-02,7.7133331298828125,7.7133331298828125,7.626667022705078,7.626667022705078,1.8582425117492676,390000,1.8310344099998475,1.8065070450305938,1.7871521067619325,1.8854224792938585,1.7766463407058364,1.8785271625412618,1.7344869275199257,1.8547364470024785,1.7195677665213864
1962-01-03,7.626667022705078,7.693333148956299,7.626667022705078,7.693333148956299,1.874484658241272,292500,1.8310344099998475,1.8065070450305938,1.7871521067619325,1.8854224792938585,1.7766463407058364,1.8785271625412618,1.7344869275199257,1.8547364470024785,1.7195677665213864
1962-01-04,7.693333148956299,7.693333148956299,7.613333225250244,7.616666793823242,1.855804681777954,262500,1.8310344099998475,1.8065070450305938,1.7871521067619325,1.8854224792938585,1.7766463407058364,1.8785271625412618,1.7344869275199257,1.8547364470024785,1.7195677665213864
1962-01-05,7.6066670417785645,7.6066670417785645,7.453332901000977,7.466667175292969,1.819257140159607,367500,1.8310344099998475,1.8065070450305938,1.7871521067619325,1.8854224792938585,1.7766463407058364,1.8785271625412618,1.7344869275199257,1.8547364470024785,1.7195677665213864
1962-01-08,7.460000038146973,7.460000038146973,7.266666889190674,7.326666831970215,1.785148024559021,547500,1.8310344099998475,1.8065070450305938,1.7871521067619325,1.8854224792938585,1.7766463407058364,1.8785271625412618,1.7344869275199257,1.8547364470024785,1.7195677665213864
1962-01-09,7.360000133514404,7.506667137145996,7.360000133514404,7.413332939147949,1.8062629699707031,495000,1.8310344099998475,1.8065070450305938,1.7871521067619325,1.8854224792938585,1.7766463407058364,1.8785271625412618,1.7344869275199257,1.8547364470024785,1.7195677665213864
1962-01-10,7.426667213439941,7.460000038146973,7.426667213439941,7.426667213439941,1.8095135688781738,300000,1.8310344099998475,1.8065070450305938,1.7871521067619325,1.8854224792938585,1.7766463407058364,1.8785271625412618,1.7344869275199257,1.8547364470024785,1.7195677665213864
1962-01-11,7.446667194366455,7.506667137145996,7.446667194366455,7.506667137145996,1.8290035724639893,322500,1.8310344099998475,1.8065070450305938,1.7871521067619325,1.8854224792938585,1.7766463407058364,1.8785271625412618,1.7344869275199257,1.8547364470024785,1.7195677665213864
1962-01-12,7.519999980926514,7.573332786560059,7.519999980926514,7.519999980926514,1.8322532176971436,442500,1.8310344099998475,1.8065070450305938,1.7871521067619325,1.8854224792938585,1.7766463407058364,1.8785271625412618,1.7344869275199257,1.8547364470024785,1.7195677665213864
1962-01-15,7.546667098999023,7.570000171661377,7.546667098999023,7.553332805633545,1.8403737545013428,255000,1.8310344099998475,1.8065070450305938,1.7871521067619325,1.8854224792938585,1.7766463407058364,1.8785271625412618,1.7344869275199257,1.8547364470024785,1.7195677665213864
1962-01-16,7.546667098999023,7.546667098999023,7.47333288192749,7.47333288192749,1.8208820819854736,255000,1.827298367023468,1.8065070450305938,1.7871521067619325,1.8784141331302355,1.7761826009167003,1.8785271625412618,1.7344869275199257,1.8547364470024785,1.7195677665213864
1962-01-17,7.440000057220459,7.440000057220459,7.3333330154418945,7.353332996368408,1.7916440963745117,420000,1.819014310836792,1.8065070450305938,1.7871521067619325,1.8624105397723498,1.7756180819012342,1.8785271625412618,1.7344869275199257,1.8547364470024785,1.7195677665213864
1962-01-18,7.373332977294922,7.446667194366455,7.373332977294922,7.373332977294922,1.7965179681777954,375000,1.813085639476776,1.8065070450305938,1.7871521067619325,1.8498330423552474,1.7763382365983047,1.8785271625412618,1.7344869275199257,1.8547364470024785,1.7195677665213864
1962-01-19,7.373332977294922,7.3933329582214355,7.293333053588867,7.380000114440918,1.798141360282898,405000,1.8109740614891052,1.8065070450305938,1.7871521067619325,1.848562431943393,1.7733856910348174,1.8785271625412618,1.7344869275199257,1.8547364470024785,1.7195677665213864
1962-01-22,7.380000114440918,7.453332901000977,7.360000133514404,7.366666793823242,1.794893503189087,277500,1.8119486093521118,1.8065070450305938,1.7871521067619325,1.8469793597898696,1.776917858914354,1.8785271625412618,1.7344869275199257,1.8547364470024785,1.7195677665213864
1962-01-23,7.363333225250244,7.373332977294922,7.28000020980835,7.293333053588867,1.7770248651504517,375000,1.8090247988700867,1.8065070450305938,1.7871521067619325,1.8504598889806716,1.7675897087595018,1.8785271625412618,1.7344869275199257,1.8547364470024785,1.7195677665213864
1962-01-24,7.293333053588867,7.3333330154418945,7.256667137145996,7.3333330154418945,1.7867720127105713,412500,1.8067506432533265,1.8065070450305938,1.7871521067619325,1.8504983025741304,1.7630029839325225,1.8785271625412618,1.7344869275199257,1.8547364470024785,1.7195677665213864
